timestamp_ms,altitude,yaw,pitch,roll,axial_overload,dharma_overload,lateral_overload,longitude,latitude,IAS,intake_pressure,throttle_lever_displacement,engine_speed,rudder_deflection,elevator_deflection,aileron_deflection,vertical_speed,roll_rate,yaw_rate,pitch_rate,engine_temperature,propeller_pitch,AOA,undercarriage,flape,ground_speed,Altitude_AGL
1768293832910,1524.672834,355.672180,5.454598,-7.708239,-0.316245,1.048829,0.003045,125.788185,42.407139,226.095090,759.968002,82.996088,8520.880357,0.000000,0.509091,-0.018182,-3.136721,-41.751522,-73.960874,103.341124,457.082184,0.000000,8.798913,0.000000,0.500000,226.095090,1187.555908
1768293832998,1524.348861,355.539276,5.578831,-7.786121,-0.317648,1.060777,0.003035,125.788181,42.407189,226.750259,759.968002,82.996088,8521.127482,0.000000,0.509091,-0.018182,-3.198810,-42.327328,-74.333748,82.308779,457.114563,0.000000,8.858105,0.000000,0.500000,226.750259,1187.216797
1768293833095,1523.978643,355.388855,5.682343,-7.877872,-0.318234,1.069829,0.003025,125.788176,42.407247,227.504128,759.968002,82.996088,8521.424149,0.000000,0.509091,-0.018182,-3.261993,-42.935331,-74.788358,57.275036,457.151093,0.000000,8.876318,0.000000,0.500000,227.504128,1186.828857
1768293833179,1523.672770,355.265533,5.735780,-7.956022,-0.317858,1.073240,0.003021,125.788171,42.407297,228.134207,759.968002,82.996088,8521.682931,0.000000,0.509091,-0.018182,-3.306313,-43.419014,-75.192391,37.154894,457.180908,0.000000,8.853484,0.000000,0.500000,228.134207,1186.508057
1768293833279,1523.328203,355.127258,5.761766,-8.046790,-0.316620,1.073117,0.003017,125.788166,42.407354,228.855061,759.968002,82.996088,8521.986592,0.000000,0.509091,-0.018182,-3.346261,-43.972420,-75.679445,16.571316,457.214081,0.000000,8.790586,0.000000,0.500000,228.855061,1186.146484
1768293833376,1523.010677,354.999847,5.756456,-8.133183,-0.314894,1.070105,0.003010,125.788161,42.407409,229.531984,759.968002,82.996088,8522.281511,0.000000,0.509091,-0.018182,-3.372700,-44.516523,-76.154185,0.795379,457.244293,0.000000,8.703358,0.000000,0.500000,229.531998,1185.812622
1768293833484,1522.672847,354.863403,5.725194,-8.228234,-0.312534,1.064529,0.003003,125.788156,42.407468,230.267546,759.968002,82.996088,8522.608486,0.000000,0.509091,-0.018182,-3.389221,-45.144402,-76.679918,-11.497742,457.276001,0.000000,8.587531,0.000000,0.500000,230.267546,1185.457275
1768293833578,1522.366846,354.738129,5.680676,-8.317316,-0.310197,1.058412,0.002999,125.788150,42.407524,230.948355,759.968002,82.996088,8522.917975,0.000000,0.509091,-0.018182,-3.393646,-45.748279,-77.167996,-17.915837,457.304199,0.000000,8.470407,0.000000,0.500000,230.948355,1185.135010
1768293833684,1522.032836,354.598267,5.623779,-8.417890,-0.307524,1.051359,0.002995,125.788144,42.407586,231.707126,759.968002,82.996088,8523.268846,0.000000,0.509091,-0.018182,-3.387486,-46.419813,-77.706707,-19.300426,457.334381,0.000000,8.339792,0.000000,0.500000,231.707126,1184.782959
1768293833783,1521.758189,354.479858,5.577837,-8.503293,-0.305476,1.046289,0.002996,125.788138,42.407638,232.343179,759.968002,82.996088,8523.569593,0.000000,0.509091,-0.018182,-3.374300,-46.956844,-78.150417,-16.079023,457.358643,0.000000,8.237591,0.000000,0.500000,232.343152,1184.493286
1768293833885,1521.446701,354.340546,5.535026,-8.603186,-0.303397,1.041985,0.003000,125.788132,42.407699,233.076929,759.968002,82.996088,8523.921048,0.000000,0.509091,-0.018182,-3.351247,-47.529473,-78.650632,-8.033552,457.385437,0.000000,8.134993,0.000000,0.500000,233.076956,1184.164429
1768293833978,1521.160839,354.207092,5.511190,-8.697690,-0.301905,1.040174,0.003012,125.788126,42.407756,233.760910,759.968002,82.996088,8524.253268,0.000000,0.509091,-0.018182,-3.323638,-47.979371,-79.107388,2.908818,457.409302,0.000000,8.058743,0.000000,0.500000,233.760910,1183.862427
1768293834078,1520.891194,354.075348,5.507536,-8.789367,-0.300887,1.040574,0.003026,125.788119,42.407810,234.414706,759.968002,82.996088,8524.576163,0.000000,0.509091,-0.018182,-3.292655,-48.325672,-79.536200,15.640119,457.431152,0.000000,8.006132,0.000000,0.500000,234.414679,1183.577393
1768293834188,1520.562576,353.905914,5.533283,-8.904537,-0.300187,1.044399,0.003056,125.788111,42.407879,235.222119,759.968002,82.996088,8524.981821,0.000000,0.509091,-0.018182,-3.249274,-48.609025,-80.062480,33.180601,457.456818,0.000000,7.969995,0.000000,0.500000,235.222119,1183.229614
1768293834269,1520.326100,353.777344,5.574456,-8.989843,-0.300096,1.049469,0.003084,125.788105,42.407929,235.810162,759.968002,82.996088,8525.280820,0.000000,0.509091,-0.018182,-3.214848,-48.698074,-80.450367,46.421002,457.474701,0.000000,7.963015,0.000000,0.500000,235.810162,1182.979004
1768293834377,1520.043158,353.615112,5.650471,-9.094839,-0.300417,1.057698,0.003123,125.788098,42.407991,236.522214,759.968002,82.996088,8525.651508,0.000000,0.509091,-0.018182,-3.170049,-48.679407,-80.933049,62.085484,457.495361,0.000000,7.974951,0.000000,0.500000,236.522214,1182.679199
1768293834471,1519.794024,353.463837,5.742400,-9.190308,-0.301057,1.066925,0.003161,125.788091,42.408046,237.158377,759.968002,82.996088,8525.988974,0.000000,0.509091,-0.018182,-3.126867,-48.571760,-81.379416,75.058916,457.512939,0.000000,8.002488,0.000000,0.500000,237.158405,1182.414795
1768293834574,1519.536622,353.298370,5.861344,-9.292398,-0.302033,1.078308,0.003211,125.788083,42.408106,237.826346,759.968002,82.996088,8526.348005,0.000000,0.509091,-0.018182,-3.078356,-48.368142,-81.870500,87.028290,457.530579,0.000000,8.044587,0.000000,0.500000,237.826346,1182.141113
1768293834674,1519.280510,353.123108,6.003290,-9.398193,-0.303263,1.091104,0.003260,125.788075,42.408168,238.504971,759.968002,82.996088,8526.720442,0.000000,0.509091,-0.018182,-3.025010,-48.085987,-82.399675,96.993187,457.547577,0.000000,8.097239,0.000000,0.500000,238.504916,1181.868408
1768293834769,1519.059637,352.962341,6.143661,-9.493569,-0.304442,1.102748,0.003309,125.788067,42.408223,239.104660,759.968002,82.996088,8527.056159,0.000000,0.509091,-0.018182,-2.973887,-47.781446,-82.899297,103.702503,457.561890,0.000000,8.148132,0.000000,0.500000,239.104715,1181.632812
1768293834876,1518.817121,352.773468,6.316143,-9.603894,-0.305823,1.116143,0.003367,125.788058,42.408288,239.784055,759.968002,82.996088,8527.443749,0.000000,0.509091,-0.018182,-2.910345,-47.406280,-83.505462,108.817461,457.577240,0.000000,8.206472,0.000000,0.500000,239.784082,1181.373169
1768293834973,1518.624470,352.612305,6.466496,-9.696920,-0.306909,1.126705,0.003409,125.788050,42.408342,240.345016,759.968002,82.996088,8527.770141,0.000000,0.509091,-0.018182,-2.852284,-47.097057,-84.039535,111.103006,457.589203,0.000000,8.252049,0.000000,0.500000,240.345044,1181.166260
1768293835068,1518.427775,352.435089,6.632120,-9.798355,-0.307976,1.137637,0.003459,125.788041,42.408401,240.943964,759.968002,82.996088,8528.124510,0.000000,0.509091,-0.018182,-2.783800,-46.792055,-84.642819,111.770793,457.601288,0.000000,8.295163,0.000000,0.500000,240.943936,1180.954102
1768293835182,1518.222769,352.232971,6.818414,-9.913363,-0.308941,1.148527,0.003508,125.788031,42.408468,241.606494,759.968002,82.996088,8528.524340,0.000000,0.509091,-0.018182,-2.699125,-46.494891,-85.352305,110.721874,457.613739,0.000000,8.333247,0.000000,0.500000,241.606522,1180.731934
1768293835273,1518.070234,352.067047,6.967482,-10.007412,-0.309521,1.156246,0.003546,125.788022,42.408523,242.135376,759.968002,82.996088,8528.848983,0.000000,0.509091,-0.018182,-2.623811,-46.295388,-85.950370,108.885277,457.623016,0.000000,8.354895,0.000000,0.500000,242.135376,1180.565308
1768293835373,1517.912977,351.876740,7.133093,-10.115115,-0.309944,1.163803,0.003591,125.788012,42.408586,242.726523,759.968002,82.996088,8529.221420,0.000000,0.509091,-0.018182,-2.530753,-46.122386,-86.650662,106.213478,457.632599,0.000000,8.369007,0.000000,0.500000,242.726523,1180.392334
1768293835468,1517.791747,351.710815,7.272451,-10.208989,-0.310102,1.169041,0.003621,125.788003,42.408641,243.229230,759.968002,82.996088,8529.540235,0.000000,0.509091,-0.018182,-2.443196,-46.021845,-87.271117,103.783078,457.640137,0.000000,8.372598,0.000000,0.500000,243.229230,1180.257446
1768293835582,1517.662944,351.505585,7.438443,-10.325093,-0.310075,1.174233,0.003653,125.787992,42.408709,243.834824,759.968002,82.996088,8529.931905,0.000000,0.509091,-0.018182,-2.326227,-45.982278,-88.041780,101.109066,457.648407,0.000000,8.367347,0.000000,0.500000,243.834851,1180.111938
1768293835681,1517.566168,351.318756,7.584376,-10.430902,-0.309875,1.178058,0.003682,125.787981,42.408770,244.371094,759.968002,82.996088,8530.282777,0.000000,0.509091,-0.018182,-2.211806,-46.013335,-88.741827,99.341543,457.654877,0.000000,8.355206,0.000000,0.500000,244.371066,1180.000244
1768293835765,1517.499699,351.161194,7.704532,-10.520194,-0.309610,1.180741,0.003705,125.787972,42.408822,244.811618,759.968002,82.996088,8530.574198,0.000000,0.509091,-0.018182,-2.110241,-46.071989,-89.328629,98.530137,457.659637,0.000000,8.341156,0.000000,0.500000,244.811646,1179.921387
1768293835871,1517.436361,350.964325,7.852228,-10.631721,-0.309217,1.183565,0.003730,125.787961,42.408886,245.346872,759.968002,82.996088,8530.932647,0.000000,0.509091,-0.018182,-1.976776,-46.172092,-90.054787,98.497011,457.664734,0.000000,8.320860,0.000000,0.500000,245.346844,1179.842773
1768293835965,1517.398468,350.790283,7.981975,-10.730291,-0.308863,1.185886,0.003752,125.787950,42.408942,245.805798,759.968002,82.996088,8531.243885,0.000000,0.509091,-0.018182,-1.853161,-46.283035,-90.686710,99.389334,457.668488,0.000000,8.302162,0.000000,0.500000,245.805798,1179.791504
1768293836074,1517.375193,350.583954,8.136335,-10.846928,-0.308441,1.188604,0.003779,125.787938,42.409008,246.331796,759.968002,82.996088,8531.606996,0.000000,0.509091,-0.018182,-1.700984,-46.415647,-91.423270,101.491386,457.671967,0.000000,8.281129,0.000000,0.500000,246.331824,1179.752930
1768293836175,1517.374107,350.395966,8.278869,-10.952922,-0.308123,1.191165,0.003798,125.787926,42.409067,246.793936,759.968002,82.996088,8531.929308,0.000000,0.509091,-0.018182,-1.557422,-46.534649,-92.081134,104.241391,457.674347,0.000000,8.264559,0.000000,0.500000,246.793909,1179.738159
1768293836266,1517.390829,350.215027,8.418619,-11.054567,-0.307884,1.193941,0.003822,125.787915,42.409124,247.222870,759.968002,82.996088,8532.230637,0.000000,0.509091,-0.018182,-1.415313,-46.641036,-92.701411,107.455289,457.675903,0.000000,8.251920,0.000000,0.500000,247.222897,1179.742065
1768293836373,1517.432913,349.998230,8.590214,-11.175917,-0.307707,1.197669,0.003849,125.787902,42.409191,247.716705,759.968002,82.996088,8532.581509,0.000000,0.509091,-0.018182,-1.241546,-46.745671,-93.429673,111.794330,457.676941,0.000000,8.241485,0.000000,0.500000,247.716678,1179.769043
1768293836472,1517.490922,349.802399,8.749307,-11.284971,-0.307652,1.201388,0.003875,125.787889,42.409251,248.143634,759.968002,82.996088,8532.890416,0.000000,0.509091,-0.018182,-1.082166,-46.796754,-94.078069,115.930604,457.677185,0.000000,8.236554,0.000000,0.500000,248.143607,1179.813965
1768293836567,1517.568304,349.604767,8.913898,-11.394508,-0.307692,1.205523,0.003904,125.787877,42.409310,248.556583,759.968002,82.996088,8533.194659,0.000000,0.509091,-0.018182,-0.918958,-46.821411,-94.723884,120.100079,457.676788,0.000000,8.235676,0.000000,0.500000,248.556555,1179.878418
1768293836661,1517.664750,349.405975,9.083224,-11.504129,-0.307816,1.209923,0.003932,125.787864,42.409369,248.954205,759.968002,82.996088,8533.490744,0.000000,0.509091,-0.018182,-0.752765,-46.816845,-95.367302,124.116176,457.675751,0.000000,8.238387,0.000000,0.500000,248.954205,1179.962158
1768293836771,1517.800509,349.173553,9.285358,-11.631647,-0.308046,1.215338,0.003971,125.787849,42.409437,249.397119,759.968002,82.996088,8533.826461,0.000000,0.509091,-0.018182,-0.556715,-46.763611,-96.117093,128.413731,457.673859,0.000000,8.245060,0.000000,0.500000,249.397092,1180.083496
1768293836869,1517.942801,348.965576,9.469313,-11.745165,-0.308303,1.220217,0.004001,125.787836,42.409497,249.774088,759.968002,82.996088,8534.117300,0.000000,0.509091,-0.018182,-0.379122,-46.693653,-96.786315,131.790126,457.671539,0.000000,8.253377,0.000000,0.500000,249.774088,1180.213135
1768293836965,1518.105426,348.756378,9.656472,-11.858849,-0.308605,1.225162,0.004033,125.787822,42.409557,250.135538,759.968002,82.996088,8534.401144,0.000000,0.509091,-0.018182,-0.198626,-46.613476,-97.457743,134.685170,457.668732,0.000000,8.263012,0.000000,0.500000,250.135538,1180.363525
1768293837062,1518.294214,348.539673,9.851810,-11.976185,-0.308918,1.230214,0.004068,125.787808,42.409618,250.491824,759.968002,82.996088,8534.687903,0.000000,0.509091,-0.018182,-0.010019,-46.508899,-98.155119,137.146701,457.665283,0.000000,8.273389,0.000000,0.500000,250.491852,1180.539917
1768293837168,1518.516226,348.310638,10.059070,-12.099802,-0.309229,1.235144,0.004103,125.787792,42.409682,250.849402,759.968002,82.996088,8534.981656,0.000000,0.509091,-0.018182,0.191806,-46.394921,-98.893776,139.192056,457.661133,0.000000,8.284033,0.000000,0.500000,250.849402,1180.749268
1768293837277,1518.766516,348.076874,10.270578,-12.225602,-0.309517,1.239819,0.004136,125.787776,42.409746,251.194922,759.968002,82.996088,8535.267831,0.000000,0.509091,-0.018182,0.400736,-46.277680,-99.649803,140.757959,457.656311,0.000000,8.293853,0.000000,0.500000,251.194949,1180.986816
1768293837373,1519.027846,347.853516,10.472005,-12.345553,-0.309761,1.244047,0.004168,125.787761,42.409807,251.507428,759.968002,82.996088,8535.534191,0.000000,0.509091,-0.018182,0.602960,-46.176286,-100.372703,141.847060,457.651276,0.000000,8.301742,0.000000,0.500000,251.507428,1181.236450
1768293837461,1519.283159,347.651093,10.653653,-12.454165,-0.309938,1.247488,0.004198,125.787747,42.409862,251.776208,759.968002,82.996088,8535.767328,0.000000,0.509091,-0.018182,0.787760,-46.080892,-101.030376,142.571361,457.646362,0.000000,8.307326,0.000000,0.500000,251.776208,1181.481445
1768293837556,1519.583064,347.429077,10.851485,-12.573120,-0.310088,1.250914,0.004230,125.787732,42.409921,252.055646,759.968002,82.996088,8536.016784,0.000000,0.509091,-0.018182,0.992122,-45.964994,-101.756595,143.167868,457.640564,0.000000,8.311691,0.000000,0.500000,252.055646,1181.770264
1768293837660,1519.929045,347.190125,11.062593,-12.701004,-0.310195,1.254092,0.004263,125.787715,42.409985,252.339203,759.968002,82.996088,8536.275567,0.000000,0.509091,-0.018182,1.214690,-45.847990,-102.541391,143.678480,457.633942,0.000000,8.314415,0.000000,0.500000,252.339175,1182.104736
1768293837771,1520.332001,346.930420,11.289861,-12.839907,-0.310257,1.257137,0.004297,125.787697,42.410053,252.627814,759.968002,82.996088,8536.547171,0.000000,0.509091,-0.018182,1.459445,-45.732413,-103.396230,144.187315,457.626343,0.000000,8.315316,0.000000,0.500000,252.627814,1182.495361
